baseline,fold,seed,visible_seed,window_t,delta_hidden_minus_free_sample_wrong_branch_rate,delta_hidden_minus_free_future_chamfer_to_true,delta_hidden_minus_free_action_mse
paper_state,1,0,100011,0,-1.0,-0.001235179603099823,1.73225998878479e-07
paper_state,1,0,100012,0,-0.4375,-0.0014511346817016602,-1.3737007975578308e-07
paper_state,1,0,100013,0,-0.96875,-0.0013375431299209595,-2.416782081127167e-07
paper_state,1,0,100014,0,-0.09375,-0.00016754865646362305,-1.3434328138828278e-07
paper_state,1,0,100015,0,-0.875,-0.001437939703464508,-6.429152563214302e-06
paper_state,1,0,100016,0,-0.0625,0.00045486539602279663,-4.931353032588959e-07
paper_state,1,0,100017,0,0.0,-0.00016275793313980103,-6.725022103637457e-06
paper_state,1,0,100018,0,-0.3125,-0.0008600801229476929,6.170012056827545e-08
paper_state,1,0,100019,0,1.0,0.005469530820846558,-9.73232090473175e-08
paper_state,1,0,100020,0,-1.0,-0.0031646713614463806,-5.989568307995796e-08
paper_state,1,0,100021,0,-0.96875,-0.0061296746134757996,2.748798578977585e-06
paper_state,1,0,100022,0,0.40625,0.0018198564648628235,-3.2922253012657166e-07
paper_state,1,0,100023,0,-1.0,-0.004851147532463074,-8.950009942054749e-07
paper_state,1,0,100023,1,-0.625,-0.0019374117255210876,0.0011019455268979073
paper_state,1,0,100023,2,-0.5625,-0.002266429364681244,0.0008792011067271233
paper_state,1,0,100024,0,-1.0,-0.0034530609846115112,3.762543201446533e-07
paper_state,1,0,100025,0,-0.5625,-0.0014745742082595825,-7.583294063806534e-07
paper_state,1,0,100026,0,-0.9375,-0.004986599087715149,1.5459954738616943e-07
paper_state,1,0,100027,0,-0.40625,-0.000843539834022522,-6.752088665962219e-09
paper_state,1,0,100028,0,-0.90625,-0.002731040120124817,-1.541338860988617e-07
paper_state,1,0,100029,0,-1.0,-0.0030024945735931396,-7.543712854385376e-08
paper_state,1,1,100000,0,0.15625,0.00014227628707885742,4.075700417160988e-07
paper_state,1,1,100001,0,0.71875,0.0013851895928382874,-4.814937710762024e-07
paper_state,1,1,100002,0,-1.0,-0.00576617568731308,-1.0191462934017181e-05
paper_state,1,1,100003,0,-0.0625,0.00016797706484794617,5.611218512058258e-08
paper_state,1,1,100004,0,-0.375,-0.0017386004328727722,6.8256049416959286e-06
paper_state,1,1,100005,0,-0.375,-0.0011403635144233704,-3.2241223379969597e-06
paper_state,1,1,100005,1,-0.9375,-0.0037203095853328705,0.00034932419657707214
paper_state,1,1,100005,2,-0.90625,-0.003369443118572235,-4.1825951484497637e-05
paper_state,1,1,100005,3,-0.9375,-0.00365515798330307,-2.1711690351366997e-05
paper_state,1,1,100005,4,-0.875,-0.0034749284386634827,0.000493563711643219
paper_state,1,1,100006,0,-0.84375,-0.0021058693528175354,4.030880518257618e-09
paper_state,1,1,100006,1,-0.8125,-0.0020592063665390015,-0.00017733918502926826
paper_state,1,1,100006,2,-0.90625,-0.0020165294408798218,-0.00032886676490306854
paper_state,1,1,100006,3,-0.90625,-0.0024493448436260223,0.0055342300329357386
