edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
13,3,candidate,0.9950980392156863,epsilon_cosine_cap_0p5,31433,0.003676470588235294,0.9987745098039216
14,3,candidate,0.9926470588235294,epsilon_cosine_cap_0p5,31433,0.004901960784313725,0.9975490196078431
15,3,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
16,3,candidate,0.9938725490196079,epsilon_cosine_cap_0p5,31433,0.0024509803921568627,0.9963235294117647
17,3,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9987745098039216
18,3,candidate,0.9889705882352942,epsilon_cosine_cap_0p5,31433,0.0,0.9889705882352942
19,3,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9987745098039216
20,3,candidate,0.9987745098039216,epsilon_cosine_cap_0p5,31433,0.0,0.9987745098039216
21,3,candidate,0.9975490196078431,epsilon_cosine_cap_0p5,31433,0.0012254901960784314,0.9987745098039216
22,3,candidate,1.0,epsilon_cosine_cap_0p5,31433,0.0,1.0
0,0,candidate,0.0,sample_cosine,31431,0.8075980392156863,0.8075980392156863
1,0,candidate,0.0,sample_cosine,31431,0.5588235294117647,0.5588235294117647
2,0,candidate,0.0,sample_cosine,31431,0.0,0.0
3,0,candidate,0.0392156862745098,sample_cosine,31431,0.0,0.0392156862745098
4,0,candidate,0.0,sample_cosine,31431,0.9607843137254902,0.9607843137254902
5,0,candidate,0.0,sample_cosine,31431,0.5441176470588235,0.5441176470588235
6,0,candidate,0.0,sample_cosine,31431,1.0,1.0
7,0,candidate,0.0,sample_cosine,31431,0.29411764705882354,0.29411764705882354
8,0,candidate,0.0,sample_cosine,31431,0.0,0.0
9,0,candidate,0.0,sample_cosine,31431,0.5882352941176471,0.5882352941176471
10,0,candidate,0.0,sample_cosine,31431,1.0,1.0
11,0,candidate,0.0,sample_cosine,31431,1.0,1.0
12,0,candidate,0.0,sample_cosine,31431,1.0,1.0
13,0,candidate,0.0,sample_cosine,31431,1.0,1.0
14,0,candidate,0.0,sample_cosine,31431,0.5122549019607843,0.5122549019607843
15,0,candidate,0.0,sample_cosine,31431,1.0,1.0
16,0,candidate,0.0,sample_cosine,31431,1.0,1.0
17,0,candidate,0.0,sample_cosine,31431,1.0,1.0
18,0,candidate,0.0,sample_cosine,31431,0.0,0.0
19,0,candidate,0.0,sample_cosine,31431,0.8284313725490197,0.8284313725490197
20,0,candidate,0.0,sample_cosine,31431,0.09803921568627451,0.09803921568627451
21,0,candidate,0.0,sample_cosine,31431,0.9558823529411765,0.9558823529411765
22,0,candidate,0.0,sample_cosine,31431,0.16666666666666666,0.16666666666666666
0,1,candidate,0.0,sample_cosine,31431,0.6078431372549019,0.6078431372549019
1,1,candidate,0.0,sample_cosine,31431,0.5686274509803921,0.5686274509803921
2,1,candidate,0.0,sample_cosine,31431,0.36764705882352944,0.36764705882352944
3,1,candidate,0.0,sample_cosine,31431,0.0,0.0
4,1,candidate,0.0,sample_cosine,31431,0.8002450980392157,0.8002450980392157
5,1,candidate,0.0,sample_cosine,31431,1.0,1.0
6,1,candidate,0.0,sample_cosine,31431,0.9889705882352942,0.9889705882352942
7,1,candidate,0.0,sample_cosine,31431,0.4950980392156863,0.4950980392156863
8,1,candidate,0.0,sample_cosine,31431,0.9607843137254902,0.9607843137254902
9,1,candidate,0.0,sample_cosine,31431,1.0,1.0
10,1,candidate,0.0,sample_cosine,31431,1.0,1.0
11,1,candidate,0.0,sample_cosine,31431,0.9607843137254902,0.9607843137254902
12,1,candidate,0.0,sample_cosine,31431,1.0,1.0
13,1,candidate,0.0,sample_cosine,31431,1.0,1.0
14,1,candidate,0.0,sample_cosine,31431,0.7083333333333334,0.7083333333333334
15,1,candidate,0.0,sample_cosine,31431,0.1642156862745098,0.1642156862745098
16,1,candidate,0.0,sample_cosine,31431,1.0,1.0
17,1,candidate,0.0,sample_cosine,31431,1.0,1.0
18,1,candidate,0.0,sample_cosine,31431,0.0,0.0
19,1,candidate,0.0,sample_cosine,31431,0.9632352941176471,0.9632352941176471
20,1,candidate,0.0,sample_cosine,31431,0.7132352941176471,0.7132352941176471
21,1,candidate,0.18627450980392157,sample_cosine,31431,0.0,0.18627450980392157
22,1,candidate,0.0,sample_cosine,31431,0.0,0.0
0,2,candidate,0.0,sample_cosine,31431,0.9215686274509803,0.9215686274509803
1,2,candidate,0.0,sample_cosine,31431,0.8394607843137255,0.8394607843137255
2,2,candidate,0.0,sample_cosine,31431,0.0,0.0
3,2,candidate,0.0,sample_cosine,31431,0.7610294117647058,0.7610294117647058
4,2,candidate,0.0,sample_cosine,31431,0.6654411764705882,0.6654411764705882
5,2,candidate,0.0,sample_cosine,31431,1.0,1.0
6,2,candidate,0.0,sample_cosine,31431,1.0,1.0
