condition,visible_seed,seed_cohort,baseline_selector,selector,initial_fraction,baseline_delta,selector_delta,paired_delta_gain,baseline_final,selector_final,paired_final_gain,baseline_success,selector_success,paired_success_gain,baseline_pull,selector_pull,baseline_future_match,selector_future_match
hidden_high_friction,312501,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.20327700767666101,0.2660810040542856,0.5625,0.0625
hidden_high_friction,312501,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.20327700767666101,0.14121732371859252,0.5625,0.25
hidden_high_friction,312502,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07411388435866684,0.07411388435866684,0.8125,0.8125
hidden_high_friction,312502,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07411388435866684,0.12235971679911017,0.8125,1.0
hidden_high_friction,312502,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07411388435866684,0.11199320491869003,0.8125,0.125
hidden_high_friction,312502,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07411388435866684,0.39093574322760105,0.8125,0.0
hidden_high_friction,312503,phase312b_seed_block,ddpm_mean,ddpm_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09765489783603698,0.09765489783603698,0.6875,0.6875
hidden_high_friction,312503,phase312b_seed_block,ddpm_mean,condition_nearest_upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09765489783603698,0.10453331423923373,0.6875,1.0
hidden_high_friction,312503,phase312b_seed_block,ddpm_mean,proxy_state_motion_nn,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.09765489783603698,0.22056951629929245,0.6875,0.0
hidden_high_friction,312503,phase312b_seed_block,ddpm_mean,proxy_combined_topk_action_geom,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.09765489783603698,0.24517048289999366,0.6875,0.0625
