comparison,left_track,right_track,step,feature,feature_family,legal_observation,feature_dim,accuracy,balanced_accuracy,roc_auc,tp,tn,fp,fn,paired_accuracy,paired_positive,paired_negative,paired_ties,paired_margin_mean,paired_margin_median,paired_sign_p,roc_auc_ci_low,roc_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,paired_accuracy_ci_low,paired_accuracy_ci_high
primary_step_20,free_a,hidden_armed,20,xy_single,position,True,48,0.5078125,0.5078125,0.51507568359375,61,69,59,67,0.828125,106,22,0,0.013442877150860339,0.01992797118847535,2.206683011805914e-14,0.5126953125,0.5223388671875,0.4921875,0.5234375,0.7578125,0.890625
primary_step_20,free_a,hidden_armed,20,sim_velocity_only,privileged_velocity,False,48,0.80078125,0.80078125,0.893310546875,102,103,25,26,0.8515625,109,19,0,0.3858881052420969,0.46442577030812326,1.5558343153481325e-16,0.8509506225585938,0.9307861328125,0.75,0.8515625,0.7890625,0.9140625
primary_step_20,free_a,hidden_armed,20,xy_sim_velocity,privileged_velocity,False,96,0.80078125,0.80078125,0.890289306640625,102,103,25,26,0.84375,108,20,0,0.38348339335734294,0.46546618647458987,8.588622955874907e-16,0.8472862243652344,0.9282241821289062,0.75,0.8515625,0.78125,0.90625
primary_step_20,free_a,hidden_armed,20,robot_only,robot_proprio,True,39,0.5,0.5,0.5,128,0,128,0,0.5,0,0,128,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
primary_step_20,free_a,hidden_armed,20,position_proprio_single,position_proprio,True,87,0.5078125,0.5078125,0.5142822265625,63,67,61,65,0.8359375,107,21,0,0.01332282913165265,0.019927971188475335,4.4757250250012606e-15,0.5123588562011718,0.52130126953125,0.4921875,0.5234375,0.7734375,0.8984375
primary_step_20,free_a,hidden_armed,20,xy_history_s1,observable_motion,True,144,0.50390625,0.50390625,0.514892578125,64,65,63,64,0.828125,106,22,0,0.013417241896758702,0.019927971188475335,2.206683011805914e-14,0.5127861022949218,0.522216796875,0.5,0.51171875,0.7578125,0.890625
primary_step_20,free_a,hidden_armed,20,position_proprio_history_s1,observable_motion,True,261,0.5078125,0.5078125,0.516082763671875,65,65,63,63,0.8359375,107,21,0,0.01390743797519007,0.019927971188475363,4.4757250250012606e-15,0.51312255859375,0.52423095703125,0.5,0.51953125,0.7734375,0.8984375
primary_step_20,free_a,hidden_armed,20,causal_fd_history_s1,observable_motion,True,405,0.80859375,0.80859375,0.88946533203125,103,104,24,25,0.8359375,107,21,0,0.37436974789915967,0.433093237294918,4.4757250250012606e-15,0.8453353881835938,0.92816162109375,0.75390625,0.859375,0.765625,0.8984375
primary_step_20,free_a,hidden_armed,20,model_x_v2_s1,proposed_model_input,True,303,0.50390625,0.50390625,0.516998291015625,65,64,64,63,0.8359375,107,21,0,0.01353979091636654,0.019927971188475335,4.4757250250012606e-15,0.51422119140625,0.52520751953125,0.5,0.51171875,0.7732421875000002,0.8984375
primary_step_20,free_a,hidden_armed,20,privileged_model_x_v1_s1,privileged_velocity,False,447,0.81640625,0.81640625,0.889129638671875,103,106,22,25,0.8359375,107,21,0,0.3738182773109244,0.4348539415766307,4.4757250250012606e-15,0.844085693359375,0.9273681640625,0.76171875,0.8671875,0.765625,0.8984375
