family,experiment,evaluation,source_id,gate_pass,row_count,z_mse,z_max_abs,ordered_rmse_p95,segment_relative_error_p95,chain_relative_error_p95
prior,balanced_frozen_prior,after_warmup,7,False,1,0.0008083883643512075,0.04871586337685585,0.003540845990514091,0.044048364947205196,0.01264980488609959
prior,balanced_frozen_prior,after_warmup,8,False,1,0.00021118952982656652,0.05771076679229736,0.0019116818779007021,0.09510372256333235,0.01476378369130426
prior,balanced_frozen_prior,after_warmup,9,True,1,4.297920958906845e-05,0.026687338948249817,0.000752386299522523,0.07615678233405244,0.006903660062086943
prior,balanced_frozen_prior,after_warmup,10,False,1,0.00011576734608575439,0.01917407289147377,0.0015453697295988878,0.031266998611173345,0.00988946982617663
prior,balanced_frozen_prior,after_warmup,11,True,1,3.212197179388873e-05,0.01544642448425293,0.0007894958922474548,0.051562686690967266,0.010737867593587679
prior,balanced_frozen_prior,after_warmup,12,True,1,4.841298962813674e-05,0.021173954010009766,0.000816952982633968,0.022554820150405185,0.007196316067339654
prior,balanced_frozen_prior,after_warmup,13,False,1,0.00013775959143145808,0.0771646499633789,0.0009502539105480952,0.0707303039816141,0.007697835032991843
prior,balanced_frozen_prior,after_warmup,14,False,1,0.0008195470552815139,0.04844677448272705,0.0038359765931752048,0.0510011680849767,0.01977812973906186
prior,balanced_frozen_prior,after_warmup,15,False,1,0.0019237326261261612,0.08623349666595459,0.005277543337188551,0.08945730592560143,0.03555746317360197
prior,balanced_frozen_prior,after_diffusion,0,False,1,0.0016238945491451543,0.0809054970741272,0.004667291773642425,0.07891343136939018,0.02177521026534455
prior,balanced_frozen_prior,after_diffusion,1,False,1,0.00019087442195278296,0.07981720566749573,0.0013330890739751311,0.08394134921180153,0.004166897131432424
prior,balanced_frozen_prior,after_diffusion,2,True,1,4.9224932130939894e-05,0.02205657958984375,0.0009312341578207177,0.0307112608157425,0.005490594838826425
prior,balanced_frozen_prior,after_diffusion,3,False,1,0.00013197103007417925,0.053948402404785156,0.0009724433600257024,0.056896447635798174,0.014064871592940478
prior,balanced_frozen_prior,after_diffusion,4,False,1,0.0006652803168770907,0.052862659096717834,0.0031747518350780926,0.057465141021038474,0.02519843903448625
prior,balanced_frozen_prior,after_diffusion,5,False,1,0.00039036280811623837,0.08510732650756836,0.0019650888088074965,0.05765023713815837,0.022672247286675926
prior,balanced_frozen_prior,after_diffusion,6,True,1,5.141180991526027e-05,0.030497118830680847,0.0006849722207025083,0.026190060958529316,0.007309003031135385
prior,balanced_frozen_prior,after_diffusion,7,False,1,0.0008083883643512075,0.04871586337685585,0.003540845990514091,0.044048364947205196,0.01264980488609959
prior,balanced_frozen_prior,after_diffusion,8,False,1,0.00021118952982656652,0.05771076679229736,0.0019116818779007021,0.09510372256333235,0.01476378369130426
